nom_norm,moyenne_niveau_de_vie,n_obs,nom_commune_postal
abbeville la riviere,26652.9,28,ABBEVILLE LA RIVIERE
ableiges,29112.47,32,ABLEIGES
ablis,27816.23,70,ABLIS
ablon sur seine,26161.25,28,ABLON SUR SEINE
acheres,27361.23,86,ACHERES
acheres la foret,29841.66,58,ACHERES LA FORET
adainville,34763.72,72,ADAINVILLE
aigremont,43409.89,23,AIGREMONT
aincourt,29144.04,34,AINCOURT
alfortville,23580.94,75,ALFORTVILLE
allainville,28951.26,20,ALLAINVILLE
ambleville,27868.78,21,AMBLEVILLE
amenucourt,23343.79,17,AMENUCOURT
amillis,26891.51,71,AMILLIS
amponville,29229.38,22,AMPONVILLE
andelu,35074.21,14,ANDELU
andilly,30664.68,44,ANDILLY
andresy,31929.63,103,ANDRESY
andrezel,30518.55,15,ANDREZEL
angerville,23366.55,74,ANGERVILLE
angervilliers,29910.04,39,ANGERVILLIERS
annet sur marne,30582.29,58,ANNET SUR MARNE
antony,36094.11,207,ANTONY
arbonne la foret,30047.69,46,ARBONNE LA FORET
arcueil,26286.16,57,ARCUEIL
argenteuil,22275.7,360,ARGENTEUIL
argentieres,25224.92,16,ARGENTIERES
armentieres en brie,24387.62,28,ARMENTIERES EN BRIE
arnouville,21206.73,69,ARNOUVILLE
arnouville les mantes,32417.21,34,ARNOUVILLE LES MANTES
arpajon,25317.88,54,ARPAJON
arrancourt,26867.45,16,ARRANCOURT
arronville,29105.02,34,ARRONVILLE
arthies,29676.67,13,ARTHIES
arville,26254.59,12,ARVILLE
asnieres sur oise,28496.97,64,ASNIERES SUR OISE
asnieres sur seine,30606.12,112,ASNIERES SUR SEINE
athis mons,25406.7,153,ATHIS MONS
attainville,30269.45,25,ATTAINVILLE
aubepierre ozouer le repos,26772.8,49,AUBEPIERRE OZOUER LE REPOS
aubergenville,26950.69,98,AUBERGENVILLE
aubervilliers,16783.19,124,AUBERVILLIERS
auffargis,33169.27,79,AUFFARGIS
aufferville,25224.2,26,AUFFERVILLE
auffreville brasseuil,33348.78,30,AUFFREVILLE BRASSEUIL
augers en brie,26916.16,21,AUGERS EN BRIE
aulnay sous bois,21972.35,258,AULNAY SOUS BOIS
aulnay sur mauldre,31929.96,35,AULNAY SUR MAULDRE
aulnoy,31289.09,31,AULNOY
auteuil,33075.47,34,AUTEUIL
authon la plaine,27193.79,13,AUTHON LA PLAINE
autouillet,35392.1,28,AUTOUILLET
auvernaux,26631.23,9,AUVERNAUX
auvers st georges,29903.85,54,AUVERS ST GEORGES
auvers sur oise,28793.7,118,AUVERS SUR OISE
avernes,30508.35,31,AVERNES
avon,27526.21,61,AVON
avrainville,30947.54,39,AVRAINVILLE
baby,25022.03,6,BABY
bagneaux sur loing,23302.96,49,BAGNEAUX SUR LOING
bagneux,25045.44,85,BAGNEUX
bagnolet,20812.46,63,BAGNOLET
baillet en france,29992.83,32,BAILLET EN FRANCE
bailly,39901.03,33,BAILLY
bailly romainvilliers,29423.98,53,BAILLY ROMAINVILLIERS
ballainvilliers,30645.36,60,BALLAINVILLIERS
ballancourt sur essonne,27192.49,89,BALLANCOURT SUR ESSONNE
balloy,24518.36,19,BALLOY
bannost villegagnon,26479.34,47,BANNOST VILLEGAGNON
banthelu,28926.48,11,BANTHELU
barbey,26111.61,8,BARBEY
barbizon,34094.32,66,BARBIZON
barcy,26578.28,10,BARCY
bassevelle,25279.43,38,BASSEVELLE
baulne,28182.8,34,BAULNE
bazainville,32846.96,72,BAZAINVILLE
bazemont,36467.93,64,BAZEMONT
bazoches les bray,22960.98,45,BAZOCHES LES BRAY
bazoches sur guyonne,39889.83,47,BAZOCHES SUR GUYONNE
beauchamp,29279.71,61,BEAUCHAMP
beauchery st martin,24822.05,37,BEAUCHERY ST MARTIN
beaumont du gatinais,24373.95,48,BEAUMONT DU GATINAIS
beaumont sur oise,23979.08,63,BEAUMONT SUR OISE
beauvoir,28141.94,8,BEAUVOIR
behoust,34404.25,23,BEHOUST
bellefontaine,29018.03,15,BELLEFONTAINE
bellot,24615.11,52,BELLOT
belloy en france,27495.58,36,BELLOY EN FRANCE
bennecourt,24905.45,61,BENNECOURT
bernay vilbert,27704.99,55,BERNAY VILBERT
bernes sur oise,23949.49,34,BERNES SUR OISE
berville,28746.23,26,BERVILLE
bessancourt,29508.57,62,BESSANCOURT
bethemont la foret,32376.78,14,BETHEMONT LA FORET
beton bazoches,25453.83,48,BETON BAZOCHES
beynes,31133.96,129,BEYNES
bezalles,25211.74,15,BEZALLES
bezons,23006.06,79,BEZONS
bievres,36953.43,77,BIEVRES
blandy,29045.24,35,BLANDY
blaru,28151.77,72,BLARU
blennes,25501.3,58,BLENNES
bobigny,18074.45,128,BOBIGNY
boigneville,29541.37,32,BOIGNEVILLE
boinville en mantois,30521.92,11,BOINVILLE EN MANTOIS
boinville le gaillard,27937.35,29,BOINVILLE LE GAILLARD
boinvilliers,33055.94,17,BOINVILLIERS
bois colombes,36306.66,49,BOIS COLOMBES
bois d arcy,30767.5,69,BOIS D ARCY
bois herpin,31937.27,5,BOIS HERPIN
bois le roi,33212.47,128,BOIS LE ROI
boisdon,25033.36,8,BOISDON
boisemont,32400.3,23,BOISEMONT
boissets,27849.8,16,BOISSETS
boissettes,30767.76,24,BOISSETTES
boissise la bertrand,32052.16,38,BOISSISE LA BERTRAND
boissise le roi,30205.37,66,BOISSISE LE ROI
boissy aux cailles,30617.48,26,BOISSY AUX CAILLES
boissy l aillerie,28443.26,39,BOISSY L AILLERIE
boissy la riviere,30175.75,43,BOISSY LA RIVIERE
boissy le chatel,25584.18,101,BOISSY LE CHATEL
boissy le cutte,26367.09,27,BOISSY LE CUTTE
boissy le sec,27362.03,27,BOISSY LE SEC
boissy mauvoisin,27678.28,33,BOISSY MAUVOISIN
boissy sans avoir,33031.03,20,BOISSY SANS AVOIR
boissy sous st yon,27391.0,70,BOISSY SOUS ST YON
boissy st leger,25548.77,79,BOISSY ST LEGER
boitron,25177.54,26,BOITRON
bombon,26966.69,25,BOMBON
bondoufle,30952.71,81,BONDOUFLE
bondy,19624.15,131,BONDY
bonnelles,30482.04,43,BONNELLES
bonneuil en france,21308.53,15,BONNEUIL EN FRANCE
bonneuil sur marne,23322.32,56,BONNEUIL SUR MARNE
bonnieres sur seine,25059.64,57,BONNIERES SUR SEINE
bouafle,28948.67,44,BOUAFLE
bouffemont,28873.84,43,BOUFFEMONT
bougival,39582.94,57,BOUGIVAL
bougligny,24744.64,37,BOUGLIGNY
boulancourt,26286.03,26,BOULANCOURT
bouleurs,27145.68,52,BOULEURS
boullay les troux,37663.94,30,BOULLAY LES TROUX
boulogne billancourt,38997.09,136,BOULOGNE BILLANCOURT
bouqueval,23948.7,7,BOUQUEVAL
bouray sur juine,29970.16,39,BOURAY SUR JUINE
bourdonne,36943.78,47,BOURDONNE
bourg la reine,37925.18,48,BOURG LA REINE
bourron marlotte,29759.55,84,BOURRON MARLOTTE
boussy st antoine,28533.98,51,BOUSSY ST ANTOINE
boutervilliers,28992.09,14,BOUTERVILLIERS
boutigny,30349.84,38,BOUTIGNY
boutigny sur essonne,29009.92,104,BOUTIGNY SUR ESSONNE
bouville,28660.46,43,BOUVILLE
bransles,25054.29,56,BRANSLES
bray et lu,25762.12,23,BRAY ET LU
bray sur seine,22119.66,31,BRAY SUR SEINE
breancon,31044.57,25,BREANCON
breau,29362.11,10,BREAU
bretigny sur orge,26521.99,193,BRETIGNY SUR ORGE
breuil bois robert,32131.12,26,BREUIL BOIS ROBERT
breuillet,27299.69,101,BREUILLET
breux jouy,28119.48,40,BREUX JOUY
breval,28527.07,89,BREVAL
brie comte robert,26404.56,134,BRIE COMTE ROBERT
brieres les scelles,26417.42,31,BRIERES LES SCELLES
brignancourt,27892.82,10,BRIGNANCOURT
briis sous forges,29463.23,72,BRIIS SOUS FORGES
brou sur chantereine,26705.03,21,BROU SUR CHANTEREINE
brouy,28657.72,9,BROUY
brueil en vexin,31290.66,28,BRUEIL EN VEXIN
brunoy,29776.27,150,BRUNOY
bruyeres le chatel,27614.1,58,BRUYERES LE CHATEL
bruyeres sur oise,24316.02,35,BRUYERES SUR OISE
bry sur marne,33422.25,73,BRY SUR MARNE
buc,38010.69,67,BUC
buchelay,24932.79,42,BUCHELAY
buhy,26619.65,15,BUHY
bullion,36304.93,72,BULLION
buno bonnevaux,26761.73,38,BUNO BONNEVAUX
burcy,25039.0,11,BURCY
bures sur yvette,33953.21,87,BURES SUR YVETTE
bussieres,22622.93,33,BUSSIERES
bussy st georges,30330.41,125,BUSSY ST GEORGES
bussy st martin,34545.22,21,BUSSY ST MARTIN
buthiers,26813.17,57,BUTHIERS
butry sur oise,28965.45,36,BUTRY SUR OISE
cachan,29381.71,69,CACHAN
cannes ecluse,24217.51,51,CANNES ECLUSE
carnetin,28692.5,12,CARNETIN
carrieres sous poissy,27899.42,76,CARRIERES SOUS POISSY
carrieres sur seine,33944.08,88,CARRIERES SUR SEINE
cely,31331.69,45,CELY
cergy,24726.96,225,CERGY
cernay la ville,34167.97,37,CERNAY LA VILLE
cerneux,24714.03,28,CERNEUX
cerny,28601.89,94,CERNY
cesson,27488.88,75,CESSON
cessoy en montois,24931.51,15,CESSOY EN MONTOIS
chailly en biere,27631.29,87,CHAILLY EN BIERE
chailly en brie,26510.01,91,CHAILLY EN BRIE
chaintreaux,25519.27,66,CHAINTREAUX
chalautre la grande,24291.58,35,CHALAUTRE LA GRANDE
chalautre la petite,26739.96,24,CHALAUTRE LA PETITE
chalifert,28337.56,37,CHALIFERT
chalmaison,23947.99,31,CHALMAISON
chalo st mars,29117.73,83,CHALO ST MARS
chalou moulineux,27286.3,20,CHALOU MOULINEUX
chamarande,29112.62,40,CHAMARANDE
chambourcy,41687.63,70,CHAMBOURCY
chambry,27256.44,28,CHAMBRY
chamigny,26068.5,62,CHAMIGNY
champagne sur oise,28511.89,82,CHAMPAGNE SUR OISE
champagne sur seine,23248.22,69,CHAMPAGNE SUR SEINE
champcenest,24900.32,19,CHAMPCENEST
champcueil,29504.91,67,CHAMPCUEIL
champdeuil,27479.56,14,CHAMPDEUIL
champeaux,27172.81,23,CHAMPEAUX
champigny sur marne,25442.95,254,CHAMPIGNY SUR MARNE
champlan,25919.82,51,CHAMPLAN
champmotteux,26588.33,15,CHAMPMOTTEUX
champs sur marne,26407.77,105,CHAMPS SUR MARNE
changis sur marne,26997.6,30,CHANGIS SUR MARNE
chanteloup en brie,28580.52,45,CHANTELOUP EN BRIE
chanteloup les vignes,26697.77,60,CHANTELOUP LES VIGNES
chapet,33872.79,33,CHAPET
charenton le pont,29806.02,37,CHARENTON LE PONT
charmentray,27877.62,13,CHARMENTRAY
charmont,26169.4,4,CHARMONT
charny,28311.25,24,CHARNY
chars,28140.96,44,CHARS
chartrettes,31918.48,74,CHARTRETTES
chartronges,25129.61,19,CHARTRONGES
chateau landon,23022.46,135,CHATEAU LANDON
chateaubleau,24618.79,15,CHATEAUBLEAU
chateaufort,38733.98,34,CHATEAUFORT
chatenay en france,31989.03,5,CHATENAY EN FRANCE
chatenay malabry,32784.49,113,CHATENAY MALABRY
chatenay sur seine,24619.84,36,CHATENAY SUR SEINE
chatenoy,23891.52,9,CHATENOY
chatignonville,28829.73,6,CHATIGNONVILLE
chatillon,33089.51,69,CHATILLON
chatillon la borde,29369.87,8,CHATILLON LA BORDE
chatou,38115.84,113,CHATOU
chatres,30885.71,29,CHATRES
chauconin neufmontiers,27792.41,36,CHAUCONIN NEUFMONTIERS
chauffour les etrechy,31125.82,7,CHAUFFOUR LES ETRECHY
chauffry,25497.98,42,CHAUFFRY
chaufour les bonnieres,27637.14,13,CHAUFOUR LES BONNIERES
chaumes en brie,27555.61,98,CHAUMES EN BRIE
chaumontel,28501.32,52,CHAUMONTEL
chaussy,27238.65,35,CHAUSSY
chauvry,30597.42,11,CHAUVRY
chavenay,42248.33,35,CHAVENAY
chaville,37869.57,59,CHAVILLE
chelles,25602.56,292,CHELLES
chennevieres les louvres,25409.96,7,CHENNEVIERES LES LOUVRES
chennevieres sur marne,28624.73,106,CHENNEVIERES SUR MARNE
chenoise,24187.54,76,CHENOISE
chenou,25178.13,26,CHENOU
cheptainville,28827.7,39,CHEPTAINVILLE
cherence,27800.73,13,CHERENCE
chessy,30387.17,58,CHESSY
chevannes,30279.68,28,CHEVANNES
chevilly larue,25349.63,56,CHEVILLY LARUE
chevrainvilliers,27115.86,16,CHEVRAINVILLIERS
chevreuse,38851.48,122,CHEVREUSE
chevru,24932.49,45,CHEVRU
chevry cossigny,29604.69,57,CHEVRY COSSIGNY
chevry en sereine,25069.2,43,CHEVRY EN SEREINE
chilly mazarin,24945.68,72,CHILLY MAZARIN
choisel,37923.2,41,CHOISEL
choisy en brie,25793.4,87,CHOISY EN BRIE
choisy le roi,23714.72,107,CHOISY LE ROI
citry,23477.7,37,CITRY
civry la foret,29613.71,27,CIVRY LA FORET
clairefontaine en yvelines,38308.82,62,CLAIREFONTAINE EN YVELINES
clamart,33947.01,158,CLAMART
claye souilly,28379.64,127,CLAYE SOUILLY
clery en vexin,28791.37,19,CLERY EN VEXIN
clichy,24712.86,66,CLICHY
clichy sous bois,18706.45,68,CLICHY SOUS BOIS
clos fontaine,24306.17,12,CLOS FONTAINE
cocherel,24966.45,22,COCHEREL
coignieres,27813.81,58,COIGNIERES
collegien,27859.55,27,COLLEGIEN
colombes,28885.67,161,COLOMBES
combs la ville,26557.35,132,COMBS LA VILLE
commeny,26593.69,9,COMMENY
compans,23932.9,22,COMPANS
conches sur gondoire,31744.83,30,CONCHES SUR GONDOIRE
conde ste libiaire,28914.61,34,CONDE STE LIBIAIRE
conde sur vesgre,34633.88,64,CONDE SUR VESGRE
condecourt,28274.36,19,CONDECOURT
conflans ste honorine,29012.88,211,CONFLANS STE HONORINE
congerville thionville,25792.45,8,CONGERVILLE THIONVILLE
congis sur therouanne,26160.61,47,CONGIS SUR THEROUANNE
corbeil essonnes,21885.01,215,CORBEIL ESSONNES
corbreuse,28293.55,31,CORBREUSE
cormeilles en parisis,28949.5,153,CORMEILLES EN PARISIS
cormeilles en vexin,28169.99,36,CORMEILLES EN VEXIN
coubert,26685.87,26,COUBERT
coubron,26467.22,45,COUBRON
couilly pont aux dames,29152.89,71,COUILLY PONT AUX DAMES
coulombs en valois,24643.57,32,COULOMBS EN VALOIS
coulommes,26337.45,16,COULOMMES
coulommiers,23747.05,158,COULOMMIERS
coupvray,30757.39,64,COUPVRAY
courances,29653.52,15,COURANCES
courbevoie,33129.66,100,COURBEVOIE
courcelles en bassee,27389.76,19,COURCELLES EN BASSEE
courcelles sur viosne,30741.01,9,COURCELLES SUR VIOSNE
courchamp,25064.6,17,COURCHAMP
courdimanche,29596.28,48,COURDIMANCHE
courdimanche sur essonne,27137.24,18,COURDIMANCHE SUR ESSONNE
courgent,33190.68,21,COURGENT
courpalay,25410.08,49,COURPALAY
courquetaine,30155.23,17,COURQUETAINE
courson monteloup,30150.18,23,COURSON MONTELOUP
courtacon,23521.13,26,COURTACON
courtomer,27915.17,19,COURTOMER
courtry,25731.38,58,COURTRY
coutencon,25148.66,16,COUTENCON
coutevroult,26351.2,38,COUTEVROULT
cravent,27273.83,28,CRAVENT
crecy la chapelle,28187.48,111,CRECY LA CHAPELLE
cregy les meaux,25720.34,47,CREGY LES MEAUX
crespieres,36662.44,57,CRESPIERES
creteil,24972.87,190,CRETEIL
crevecoeur en brie,28489.11,19,CREVECOEUR EN BRIE
crisenoy,31129.5,21,CRISENOY
croissy beaubourg,29391.35,30,CROISSY BEAUBOURG
croissy sur seine,43141.16,70,CROISSY SUR SEINE
crosne,26532.4,56,CROSNE
crouy sur ourcq,24307.87,45,CROUY SUR OURCQ
cuisy,26539.95,14,CUISY
d huison longueville,27971.12,45,D HUISON LONGUEVILLE
dagny,27149.23,33,DAGNY
dammarie les lys,24900.83,155,DAMMARIE LES LYS
dammartin en goele,26617.5,102,DAMMARTIN EN GOELE
dammartin en serve,29639.62,37,DAMMARTIN EN SERVE
dammartin sur tigeaux,27963.99,34,DAMMARTIN SUR TIGEAUX
dampierre en yvelines,39098.68,54,DAMPIERRE EN YVELINES
dampmart,27954.44,44,DAMPMART
dannemarie,31558.92,18,DANNEMARIE
dannemois,29318.16,34,DANNEMOIS
darvault,25102.56,30,DARVAULT
daumazan sur arize,20707.69,49,DAUMAZAN SUR ARIZE
davron,43550.44,16,DAVRON
deuil la barre,27319.53,92,DEUIL LA BARRE
dhuisy,25948.29,19,DHUISY
diant,23710.31,21,DIANT
domont,27999.98,107,DOMONT
donnemarie dontilly,24216.83,77,DONNEMARIE DONTILLY
dormelles,28949.82,61,DORMELLES
doue,26629.05,69,DOUE
dourdan,27883.36,137,DOURDAN
douy la ramee,25612.18,16,DOUY LA RAMEE
drancy,19690.35,179,DRANCY
draveil,28865.95,197,DRAVEIL
drocourt,29708.79,14,DROCOURT
dugny,18692.81,29,DUGNY
eaubonne,29092.31,105,EAUBONNE
echarcon,30144.03,20,ECHARCON
echouboulains,24268.96,30,ECHOUBOULAINS
ecouen,27795.07,61,ECOUEN
ecquevilly,27393.34,47,ECQUEVILLY
egligny,25411.22,22,EGLIGNY
egly,27099.89,57,EGLY
egreville,24553.66,107,EGREVILLE
elancourt,30443.88,144,ELANCOURT
emance,31977.55,57,EMANCE
emerainville,27220.45,52,EMERAINVILLE
enghien les bains,32006.33,40,ENGHIEN LES BAINS
ennery,30524.92,39,ENNERY
epiais les louvres,26409.64,7,EPIAIS LES LOUVRES
epiais rhus,29442.18,31,EPIAIS RHUS
epinay champlatreux,24781.11,9,EPINAY CHAMPLATREUX
epinay sous senart,24398.42,41,EPINAY SOUS SENART
epinay sur orge,29308.82,73,EPINAY SUR ORGE
epinay sur seine,19871.44,108,EPINAY SUR SEINE
epone,28989.18,93,EPONE
eragny,27458.93,99,ERAGNY
ermont,28648.64,101,ERMONT
esbly,27184.14,69,ESBLY
escosse,22131.53,49,ESCOSSE
esmans,24121.94,41,ESMANS
etampes,23577.6,226,ETAMPES
etiolles,34636.96,53,ETIOLLES
etrechy,27571.35,103,ETRECHY
etrepilly,26129.57,21,ETREPILLY
evecquemont,32046.19,18,EVECQUEMONT
everly,23494.76,23,EVERLY
evry,23497.57,219,EVRY
evry gregy sur yerre,29240.85,72,EVRY GREGY SUR YERRE
ezanville,27523.48,55,EZANVILLE
fabas,20315.8,43,FABAS
faremoutiers,26205.47,55,FAREMOUTIERS
favieres,29708.75,51,FAVIERES
favrieux,30164.93,13,FAVRIEUX
fay les nemours,27038.24,25,FAY LES NEMOURS
fericy,30455.42,22,FERICY
ferolles attilly,32299.12,32,FEROLLES ATTILLY
ferrieres en brie,30106.2,32,FERRIERES EN BRIE
feucherolles,42395.48,82,FEUCHEROLLES
flacourt,32140.81,7,FLACOURT
flagy,26650.45,18,FLAGY
fleury en biere,32373.02,34,FLEURY EN BIERE
fleury merogis,23129.34,41,FLEURY MEROGIS
flexanville,32699.04,37,FLEXANVILLE
flins neuve eglise,28660.92,13,FLINS NEUVE EGLISE
flins sur seine,26785.41,30,FLINS SUR SEINE
follainville dennemont,26822.47,58,FOLLAINVILLE DENNEMONT
fontaine fourches,21967.36,22,FONTAINE FOURCHES
fontaine la riviere,29045.99,18,FONTAINE LA RIVIERE
fontaine le port,32058.01,47,FONTAINE LE PORT
fontainebleau,29983.7,133,FONTAINEBLEAU
fontains,28761.57,23,FONTAINS
fontenailles,26683.51,46,FONTENAILLES
fontenay aux roses,33348.71,59,FONTENAY AUX ROSES
fontenay en parisis,25225.1,38,FONTENAY EN PARISIS
fontenay le fleury,31685.14,51,FONTENAY LE FLEURY
fontenay le vicomte,29811.87,32,FONTENAY LE VICOMTE
fontenay les briis,29839.12,73,FONTENAY LES BRIIS
fontenay mauvoisin,29712.83,15,FONTENAY MAUVOISIN
fontenay sous bois,28258.85,126,FONTENAY SOUS BOIS
fontenay st pere,29290.26,38,FONTENAY ST PERE
fontenay tresigny,25463.67,83,FONTENAY TRESIGNY
forfry,27933.68,11,FORFRY
forges,23620.58,23,FORGES
forges les bains,31021.36,99,FORGES LES BAINS
fosses,24795.09,53,FOSSES
fouju,29324.23,15,FOUJU
franconville,26109.0,119,FRANCONVILLE
fremainville,31454.97,16,FREMAINVILLE
fremecourt,30177.95,20,FREMECOURT
freneuse,24358.7,77,FRENEUSE
frepillon,28899.0,35,FREPILLON
fresnes,27198.36,65,FRESNES
fresnes sur marne,28602.99,19,FRESNES SUR MARNE
fretoy,24970.47,16,FRETOY
fromont,27202.56,13,FROMONT
frouville,30676.88,24,FROUVILLE
fublaines,27006.18,28,FUBLAINES
gagny,24552.74,162,GAGNY
